,Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,Estimated Competition Average,Bids to get 400 Sales
33,unknown,1,2,M,5.5493403886736905,5.471020305548536
30,unknown,1,1,S,5.370486602900553,5.452770424215237
18,N,1,1,S,20.154246617404088,5.449439502864501
24,unknown,1,1,M,5.6925948155432815,5.341327255559251
12,N,1,1,M,22.670992722003582,5.076030045261764
28,unknown,2,1,M,6.0271413707539,5.000546285828313
6,Y,1,1,S,10.535715906496609,4.910868683485383
27,unknown,1,2,S,5.658322084994157,4.414980722383901
29,unknown,3,2,M,10.539018653042293,4.364427344227607
34,unknown,2,1,S,5.674502456179674,4.1921531199874735
21,N,1,2,M,9.88532126113616,4.180761014471916
20,N,3,1,M,52.44991007933977,4.111621078910614
15,N,1,2,S,9.799366934714193,4.0297126893662245
19,N,2,2,S,23.91176745932321,4.00095363041195
13,N,2,2,M,21.154619520853654,3.9799889872421166
31,unknown,2,2,S,5.858503355538953,3.929649749563288
26,unknown,3,1,S,10.838244808572789,3.781215313095203
32,unknown,3,1,M,10.135271605563554,3.5295149333021003
17,N,3,2,M,47.83404340609566,3.4980179334587547
9,Y,1,2,M,10.615224124565033,2.977928415367429
3,Y,1,2,S,10.269448919754526,2.950610897194069
25,unknown,2,2,M,5.520097831140629,2.8095108988886213
0,Y,1,1,M,22.59151255735291,2.190470906065048
1,Y,2,2,M,52.216069811860116,1.772479346526591
14,N,3,1,S,48.53735244795493,1.7494208303095242
16,N,2,1,M,60.6125771128462,1.606379209392209
11,Y,3,2,S,54.186958020512044,1.5006282203853067
4,Y,2,1,M,49.184754404368256,1.2095582000668377
22,N,2,1,S,50.918920456858565,1.098139804227473
10,Y,2,1,S,56.355095847695246,0.3696835531304117
23,N,3,2,S,47.734642250176066,0.3653922550521491
2,Y,3,1,S,47.69669990023586,0.12748100662574488
8,Y,3,1,M,53.3513568555573,0.010015537794000962
7,Y,2,2,S,54.163304805102605,0.01001391464018271
5,Y,3,2,M,59.04497859334733,0.010003748277282943
