,Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,Bids to get 400 Sales
30,unknown,1,1,S,8.119267438357047
33,unknown,1,2,M,8.085248434288104
24,unknown,1,1,M,7.759415119652635
28,unknown,2,1,M,6.980840058912018
18,N,1,1,S,6.865664759793993
6,Y,1,1,S,6.340538203075335
12,N,1,1,M,6.3076979297272135
27,unknown,1,2,S,5.942718880375277
34,unknown,2,1,S,5.5323673245765015
29,unknown,3,2,M,5.495156365388977
21,N,1,2,M,5.237195542530393
20,N,3,1,M,5.053279517181635
31,unknown,2,2,S,5.0493753264716466
15,N,1,2,S,5.012539883649538
19,N,2,2,S,4.852943278728915
13,N,2,2,M,4.830958314645795
26,unknown,3,1,S,4.628739035262305
32,unknown,3,1,M,4.277439766765412
17,N,3,2,M,4.271364619709817
9,Y,1,2,M,3.5099827260271166
3,Y,1,2,S,3.4730074252389245
25,unknown,2,2,M,3.2868630653922244
0,Y,1,1,M,2.534501805600788
1,Y,2,2,M,2.1854682184304512
14,N,3,1,S,2.1364937417806815
16,N,2,1,M,2.0342665079760516
11,Y,3,2,S,1.8696992069865592
4,Y,2,1,M,1.4909612493299056
22,N,2,1,S,1.367870794069704
10,Y,2,1,S,0.5331239044813635
23,N,3,2,S,0.4758941724413854
2,Y,3,1,S,0.19395629795107192
8,Y,3,1,M,0.010022406237457595
7,Y,2,2,S,0.010016614622776168
5,Y,3,2,M,0.010004762184761226
