insured,unknown,cars2,cars3,drivers2,married,prob_to_buy
1,0,0,0,0,1,0.30824350659196187
1,0,0,0,0,0,0.3082079918341521
1,0,0,0,1,1,0.2950132887050356
1,0,0,0,1,0,0.47759839881100724
1,0,1,0,0,1,0.39616701019176004
1,0,1,0,0,0,0.18807568943335873
1,0,1,0,1,1,0.3165871288191922
1,0,1,0,1,0,0.26754587918998324
1,0,0,1,0,1,0.10949011500619048
1,0,0,1,0,0,0.3864881597161009
1,0,0,1,1,1,0.1902183647109261
1,0,0,1,1,0,0.20142792626975978
0,0,0,0,0,1,0.41850295817225225
0,0,0,0,0,0,0.40266696182452494
0,0,0,0,1,1,0.5677368169908256
0,0,0,0,1,0,0.5868791434064449
0,0,1,0,0,1,0.4428851899148082
0,0,1,0,0,0,0.4534705191524722
0,0,1,0,1,1,0.38343681555690234
0,0,1,0,1,0,0.2994838293580754
0,0,0,1,0,1,0.5223863006651422
0,0,0,1,0,0,0.2167703417116527
0,0,0,1,1,1,0.6057224557777963
0,0,0,1,1,0,0.36856621620556845
0,1,0,0,0,1,0.5472994293059685
0,1,0,0,0,0,0.43897938141627096
0,1,0,0,1,1,0.5279677205640101
0,1,0,0,1,0,0.5472909928820762
0,1,1,0,0,1,0.28358380911272374
0,1,1,0,0,0,0.3881526610851811
0,1,1,0,1,1,0.4848831317185747
0,1,1,0,1,0,0.4088147027541204
0,1,0,1,0,1,0.4434626193365444
0,1,0,1,0,0,0.38683681489433475
0,1,0,1,1,1,0.35899143530502775
0,1,0,1,1,0,0.3919994940301988
